TransData v1.4
Copyright (c) 2001-2007 by George Moromisato. All Rights Reserved.

Loading...done.
level	category	frequency	shortName	cost	mass
1	Misc	C	hydrocarbons	8	1000
1	Misc	C	water ice	7	1000
1	Misc	C	titanium ore	15	1000
1	Misc	UC	grade B grains	23	250
1	Misc	UC	frozen supplies	25	500
1	Misc	UC	frozen beef cylinders	28	500
1	Misc	UC	Kennebec Salmonite	25	500
1	Misc	R	white rice	65	250
1	Misc	R	Stimuzine muscle-enhancers	60	5
1	Misc	R	cask of Venusian Hellas rum	65	50
1	Misc	R	uranium ore	90	1000
2	Misc	C	grade A grains	36	250
2	Misc	C	heavy water	50	1000
2	Misc	C	frozen synthetic chicken	35	500
2	Misc	UC	medical supplies	70	100
2	Misc	UC	Red Nebula beer	65	250
2	Misc	UC	spool of carbon fiber	60	350
2	Misc	UC	plasteel ore	65	1000
2	Misc	R	Charles River sparkling water	150	500
2	Misc	R	neolinen	175	50
2	Misc	R	Martian Merlot	150	50
2	Misc	R	helium regolith	140	1000
3	Misc	C	frozen megathere meat	60	500
3	Misc	C	roll of hyperfiber	40	250
3	Misc	C	palladium ore	40	1000
3	Misc	UC	Eridani mineral water	120	500
3	Misc	UC	biofactor paste	130	25
3	Misc	UC	neolinen business suit	130	5
3	Misc	UC	uranium rod	125	100
3	Misc	R	photocotton	300	50
3	Misc	R	Australian Chardonnay	300	50
3	Misc	R	Europan Ice vodka	275	50
3	Misc	R	Segway antigrav platform	300	100
3	Misc	R	cobalt-thorium ore	200	1000
3	Misc	VR	Abbasid thanogram	500	5
4	Misc	C	Centauri rice	100	250
4	Misc	C	digital wrist computer	250	1
4	Misc	UC	Kobe spring water	210	500
4	Misc	UC	hypermycin	250	10
4	Misc	UC	ceralloy ore	130	1000
4	Misc	UC	gold ore	200	1000
4	Misc	R	silk	500	50
4	Misc	R	Bombay Sapphire gin	550	50
4	Misc	R	frozen Hogei salmon	450	100
4	Misc	R	xenotite ore	350	1000

