level	name	driveImage	entity	shiptable	unid
1	Centauri raider	Image	scCentauriRaider		0x08020042
1	Borer-class gunship	none	scBorerCaptured		0x00103006
1	Borer-class gunship	none	scBorer		0x08040003
1	Corsair-class gunship	Image	scCorsair		0x00163001
1	Tenhove-class sentinel	none	scTenhoveSentinel		0x00003005
1	light IAV	Image	scIAVLightG1		0x00143001
1	Borer-class gunship	none	scBorerG1		0x00143002
1	Hammerhead-class gunship	Image	scHammerhead		0x08040005
1	Hornet-class battlepod	Image	scHornet		0x08040045
1	(auton base class)	none	baStdAutonBase		0x00003013
1	(charon buster base class)	none	baCharonBuster		0x0015300c
1	(commonwealth traffic behavior)	none	evCommTrafficBehavior		0x0010300c
1	(convoy encounter behavior)	none	evStdConvoyEncounterBehavior		0x00003015
1	(CSC base class)	none	baCSCBase		0x001a3008
1	(patrol encounter behavior)	none	evStdPatrolEncounterBehavior		0x00003014
1	(St Katharine's traffic behavior)	none	evStKatsTrafficBehavior		0x0010300d
1	(wingman base class)	none	baStdWingmanBase		0x00003012
1	(zone encounter behavior)	none	evStdZoneEncounterBehavior		0x00003016
1	(zone encounter behavior)	none	evOutlawMinerBehavior		0x0804000a
1	Zulu-class gunship	Image	scZulu		0x08030004
2	Himal interceptor	Image	scHimalInterceptor		0x08030101
2	medium IAV	Image	scIAVMediumG2		0x00143003
2	Ronin/A-class gunship	none	scRoninA		0x00003002
2	Earthzone-class armed shuttle	none	scEarthzone		0x08040044
2	Zulu II-class gunship	Image	scZulu-II		0x08030007
2	Earthzone-class armed shuttle	none	scEarthzoneG2		0x00143008
2	Ronin/A-class gunship	none	scRoninG1		0x00143004
2	330M mule auton	none	scMuleAuton		0x0000300b
2	Borer II-class gunship	Image	scBorer-II		0x08040004
2	EI100-class freighter	none	scEI100		0x00003001
2	Centauri heavy raider	Image	scCentauriHeavyRaider		0x08020046
2	EI100-class freighter	none	scEI100G1		0x00143009
2	Sapphire-class yacht	Image	scSapphireYacht		0x00003008
2	Sapphire-class yacht	Image	scSapphirePlayer		0x00003801
2	Viking-class gunship	none	scViking		0x00163002
2	Antares I-class freighter	none	scAntaresI		0x00153002
3	EI500-class freighter	Image	scEI500		0x00003010
3	EI500-class freighter	Image	scEI100XPlayer		0x00003802
3	Oromo-class gunship	Image	scOromo		0x08030006
3	Corsair II-class gunship	Image	scCorsair-II		0x00163003
3	AutoSentinel®	none	scAutoSentinel		0x0000300a
3	light IAV	Image	scIAVLight		0x00103008
3	T31-class armed transport	none	scT31ArmedTransport		0x00003009
3	Antares II-class freighter	none	scAntaresII		0x00153003
3	Centauri command ship	none	scCentauriCommandShip		0x08020043
3	EI200-class freighter	none	scEI200		0x00153005
3	EI200-class freighter	none	scEI200CharonBuster		0x0015300d
3	Ronin/B-class gunship	none	scRoninB		0x00003003
3	Urak sentinel	none	scUrakSentinel		0x08030144
3	Arco Vaughn	Image	scArcoVaughnHeavyRaider		0x0802004b
3	EI500-class freighter	Image	scEI500G2		0x00143012
3	Hammerhead II-class gunship	Image	scHammerhead-II		0x08040006
3	Ronin/A-class gunship	none	scRoninG2		0x00143005
3	Sotho-class gunship	Image	scSotho		0x08030005
3	heavy IAV	Image	scIAVHeavyG2		0x0014300b
3	Plague-class gunship	none	scPlague		0x08010002
3	Sapphire-class yacht	Image	scSapphireG2		0x0014300e
3	medium IAV	Image	scIAVMedium		0x00103009
4	EI100-class freighter	none	scEI100G2		0x0014300a
4	Heliotrope gunship	Image	scHeliotropeGunship		0x08010042
4	Revelations-class missileship	none	scRevelations		0x08010003
4	Wolfen-class gunship	Image	scWolfen		0x00003011
4	Wolfen-class gunship	Image	scWolfenPlayer		0x00003803
4	Sapphire-class yacht	Image	scSapphireG3		0x0014300f
4	Wind slaver	Image	scWindSlaver		0x00193002
4	200A defender auton	none	sc200ADefenderAuton		0x00003017
4	300D defender auton	none	sc300DDefenderAuton		0x0000300c
4	Viking II-class gunship	none	scViking-II		0x08030045
4	Zoanthrope raider	Image	scDwargRaider		0x08020143
4	EI100/M-class missileship	none	scEI100M		0x00003006
4	Salvager Nomad	none	scSalvagerNomad		0x000f1001
4	Jenna	none	scRoninJenna		0x00103007
4	Ronin/B-class gunship	none	scRoninG3		0x00143006
4	Ronin/C-class gunship	none	scRoninC		0x00003004
4	Ronin/C-class gunship	none	scRoninCharonBuster		0x0015300a
4	Marauder raid platform	none	scMarauderRaidPlatform		0x08030046
4	Meth enforcer	Image	scMethEnforcer		0x08020001
4	T31-class armed transport	none	scT31G3		0x0014300d
4	Heliotrope destroyer	none	scHeliotropeDestroyer		0x08010043
4	Ferian miner	none	scFerianMiner		0x08040101
4	EI200-class freighter	none	scEI200G3		0x00143011
4	Repentant-class gunship	Image	scRepentant		0x08030082
4	Sapphire-class yacht	Image	scSapphireG4		0x00143010
4	T55-class armed transport	none	scT55ArmedTransport		0x08030008
4	Drake-class missileship	none	scDrake		0x08030044
5	Wolfen-class gunship	Image	scWolfenG4		0x00143018
5	Antares V-class superfreighter	none	scAntaresV		0x00153004
5	Ronin/C-class gunship	none	scRoninG4		0x00143007
5	1M battle auton	none	sc1MBattleAuton		0x0000300d
5	310A aegis auton	none	sc310AAegisAuton		0x0000300f
5	1M/i battle auton	none	sc1MiBattleAuton		0x0000300e
5	Xenophobe fighter	Image	scXenophobeFighter		0x08010082
5	Scarab-class superfreighter	none	scScarabFreighter		0x00103002
5	Sung transport	none	scSungTransport		0x00193001
5	Barbary-class gunship	Image	scBarbary		0x08030047
5	Ranx gunship	Image	scRanxGunship		0x080400c2
5	Steel slaver	none	scSteelSlaver		0x00193003
5	heavy IAV	Image	scIAVHeavyG3		0x0014300c
5	EI7000-class freighter	none	scEI7000		0x00153006
5	Charon frigate	none	scCharonFrigateRaider		0x00163004
5	EI500-class freighter	Image	scEI500G4		0x00143013
