Level	System	Item	Count
1	5 Indi	Heliotrope fuel cylinder	0.05
1	5 Indi	Luminous ion shield	0.01
1	5 Indi	Luminous thermo shield	0.01
1	5 Indi	light titanium armor	0.91
1	5 Indi	heavy reactive armor	0.82
1	5 Indi	reactive armor	1.51
1	5 Indi	Duralloy armor	0.06
1	5 Indi	plasteel armor	0.86
1	5 Indi	heavy plasteel armor	0.32
1	5 Indi	laser cannon	1.01
1	5 Indi	recoilless cannon	0.61
1	5 Indi	particle beam weapon	0.06
1	5 Indi	NAMI missile launcher	0.54
1	5 Indi	KM100 Longbow missile	26.88
1	5 Indi	dual laser cannon	0.42
1	5 Indi	dual recoilless cannon	0.22
1	5 Indi	KM500 Stiletto missile	4.40
1	5 Indi	330M mule auton	0.02
1	5 Indi	310A aegis auton	0.01
1	5 Indi	heavy ceramic armor	1.07
1	5 Indi	Penitent cannon	0.01
1	5 Indi	Heisenmachines quantum CPU	0.01
1	5 Indi	titanium ore	21.43
1	5 Indi	hydrocarbons	1.18
1	5 Indi	water ice	15.21
1	5 Indi	frozen supplies	1.69
1	5 Indi	plasteel ore	0.63
1	5 Indi	spool of carbon fiber	0.58
1	5 Indi	Duralloy ore	15.86
1	5 Indi	medical supplies	0.27
1	5 Indi	uranium rod	0.26
1	5 Indi	biofactor paste	0.13
1	5 Indi	roll of hyperfiber	0.43
1	5 Indi	gold ore	0.04
1	5 Indi	omnidirectional laser cannon	0.10
1	5 Indi	class I deflector	0.23
1	5 Indi	class II deflector	0.37
1	5 Indi	class III deflector	0.13
1	5 Indi	helium³ fuel rod	82.85
1	5 Indi	mining laser	0.08
1	5 Indi	ablative armor coating	1.71
1	5 Indi	carbon-weaver nanos	1.02
1	5 Indi	degenerating nanos	0.08
1	5 Indi	organic acid	0.51
1	5 Indi	reactive armor coating	0.49
1	5 Indi	reflective armor coating	0.18
1	5 Indi	regenerating nanos	0.06
1	5 Indi	repairing nanos	0.31
1	5 Indi	armor repair paste	2.16
1	5 Indi	defective visual display ROM	0.15
1	5 Indi	shield enhancement ROM	0.19
1	5 Indi	autopilot ROM	0.27
1	5 Indi	system map ROM	0.28
1	5 Indi	tritium propulsion upgrade	0.11
1	5 Indi	photo-organic armor	0.33
1	5 Indi	ceramic armor	1.43
1	5 Indi	polymesh armor	0.37
1	5 Indi	Tempus syrette	0.58
1	5 Indi	bootleg Star Wars 3DV	0.38
1	5 Indi	Martian nori	3.09
1	5 Indi	laudanum ampule	2.24
1	5 Indi	black market identification chip	0.04
1	5 Indi	titanium armor	0.42
1	5 Indi	fragmentation missile	18.63
1	5 Indi	targeting program ROM	0.06
1	5 Indi	light plasteel armor	2.00
1	5 Indi	Rasiermesser SmartCannon	0.15
1	5 Indi	SmartCannon round	245.22
1	5 Indi	Bolide laser blaster	0.48
1	5 Indi	DK10 Arbalest cannon	0.54
1	5 Indi	cannon accelerator	0.18
1	5 Indi	heavy titanium armor	2.07
1	5 Indi	turbolaser cannon	0.55
1	5 Indi	Dragonfly missile cartridge	21.72
1	5 Indi	XMH armor	0.44
1	5 Indi	Solon shield generator	0.11
1	5 Indi	Flenser relativistic cannon	0.02
1	5 Indi	polyceramic armor	0.94
1	5 Indi	Tevlar-composite armor	0.39
1	5 Indi	small armor patch	0.40
1	5 Indi	large armor patch	0.19
1	5 Indi	MAG launcher	0.06
1	5 Indi	400 Hexagene MAG	94.73
1	5 Indi	600 Hexagene MAG	19.28
1	5 Indi	800F Hexagene MAG	8.89
1	5 Indi	dual turbolaser cannon	0.04
1	5 Indi	actinide waste cannon	0.03
1	5 Indi	cargo hold expansion	0.12
1	5 Indi	advanced reactive armor	0.38
1	5 Indi	hardened plasteel armor	0.02
1	5 Indi	solar armor	0.06
1	5 Indi	superconducting shield generator	0.03
1	5 Indi	superconducting coil	0.09
1	5 Indi	solar panel array	0.03
1	5 Indi	smuggler's cargo hold	0.03
1	5 Indi	heavy recoilless cannon	0.66
1	5 Indi	double titanium barricade	0.82
1	5 Indi	grade B grains	1.13
1	5 Indi	white rice	0.49
1	5 Indi	Stimuzine muscle-enhancers	0.07
1	5 Indi	cask of Venusian Hellas rum	0.10
1	5 Indi	frozen beef cylinders	0.43
1	5 Indi	Kennebec Salmonite	0.14
1	5 Indi	Charles River sparkling water	0.21
1	5 Indi	grade A grains	1.67
1	5 Indi	neolinen	0.04
1	5 Indi	Martian Merlot	0.14
1	5 Indi	frozen synthetic chicken	1.05
1	5 Indi	Red Nebula beer	0.38
1	5 Indi	Eridani mineral water	0.21
1	5 Indi	photocotton	0.15
1	5 Indi	Australian Chardonnay	0.03
1	5 Indi	Europan Ice vodka	0.33
1	5 Indi	frozen megathere meat	0.59
1	5 Indi	neolinen business suit	0.05
1	5 Indi	palladium ore	0.64
1	5 Indi	Segway antigrav platform	0.05
1	5 Indi	Centauri rice	1.16
1	5 Indi	Kobe spring water	0.12
1	5 Indi	frozen Hogei salmon	0.49
1	5 Indi	dried Europan ice moss	0.86
1	5 Indi	Exile Starport Champagne	0.03
1	5 Indi	genuine leather boots	0.01
1	5 Indi	Rowena's Weapons and Armor: Volume I	0.25
1	5 Indi	Rowena's Weapons and Armor: Volume II	0.01
1	5 Indi	titanium barricade	0.69
1	5 Indi	quad titanium barricade	0.29
1	5 Indi	helium³ reactor assembly	15.56
1	5 Indi	weapon enhancement ROM	0.07
1	5 Indi	TK10 Trident cannon	0.34
1	5 Indi	hull plate ionizer	0.50
1	5 Indi	fast-fire laser cannon	0.39
1	5 Indi	AK15 Partisan cannon	0.28
1	5 Indi	laser cannon array	0.16
1	5 Indi	slam cannon	0.08
1	5 Indi	heavy water	0.38
1	5 Indi	visual display enhancement ROM	0.22
1	5 Indi	decon gel	0.19
1	5 Indi	radioactive waste	0.06
1	5 Indi	blast plate	0.11
1	5 Indi	Akan 30 cannon	0.01
1	5 Indi	Akan 30 cannon shell cartridge	42.56
1	5 Indi	hardened reactive armor	0.33
1	5 Indi	DM600 missile rack	0.49
1	5 Indi	light recoilless cannon	0.30
