TransData v1.2
Copyright (c) 2001-2006 by George Moromisato. All Rights Reserved.

Loading...done.
Level	Ship	Speed	Thrust	Maneuver	Armor	Weapon	Launcher	Shields	FireRate	FireAccuracy	Score
2	EI100-class freighter	low	low	medium	2.segment of reactive armor (x4)	3.omnidirectional laser cannon	0.none	1.class I deflector	Slow	85% (Average)	95
2	Ronin/A-class gunship	medium	low	medium	2.segment of ceramic armor (x4)	2.Bolide laser blaster	0.none	0.none	Normal	90% (Special)	55
3	Ronin/B-class gunship	medium	low	medium	3.segment of heavy ceramic armor (x4)	2.Bolide laser blaster	2.NAMI missile launcher	1.class I deflector	Normal	90% (Special)	155
4	Ronin/C-class gunship	medium	low	medium	3.segment of heavy ceramic armor (x4)	4.particle beam weapon	3.NAMI missile launcher	2.class II deflector	Very Fast	90% (Special)	300
1	Tenhove-class sentinel	low	low	high	1.segment of light titanium armor (x1)	1.laser cannon	0.none	0.none	Normal	80% (Average)	25
4	EI100/M-class missileship	low	low	medium	2.segment of reactive armor (x4)	3.omnidirectional laser cannon	4.NAMI missile launcher	1.class I deflector	Slow	100% (Exceptional)	245(170)
6	Mikeno-class destroyer	low	low	low	5.segment of heavy plasteel armor (x12)	6.Dragonfly missile system	4.NAMI missile launcher	4.class III deflector	Very Fast	95% (Very Special)	705
2	Sapphire-class yacht	medium	medium	medium	2.segment of reactive armor (x4)	1.recoilless cannon	0.none	1.class I deflector	Fast	90% (Special)	95
3	T31-class armed transport	medium	low	medium	2.segment of heavy titanium armor (x4)	3.Rasiermesser SmartCannon	0.none	0.none	Slow	85% (Average)	105
3	AutoSentinel®	high	low	high	3.segment of heavy ceramic armor (x1)	1.laser cannon	0.none	0.none	Very Fast	70% (Poor)	115
2	330M mule auton	medium	medium	low	4.segment of plasteel armor (x2)	0.none	0.none	2.hull plate ionizer	Very Fast	80% (Average)	80
4	300D defender auton	high	medium	high	4.segment of plasteel armor (x1)	3.turbolaser cannon	0.none	2.hull plate ionizer	Very Fast	80% (Average)	240
5	1M battle auton	high	low	medium	5.segment of light blast plate (x1)	4.particle beam weapon	0.none	3.monopole deflector screen	Very Fast	90% (Special)	385
5	1M/i battle auton	high	low	medium	5.segment of light blast plate (x1)	5.EMP cannon	0.none	3.monopole deflector screen	Very Fast	90% (Special)	420
4	310A aegis auton	high	medium	high	4.segment of plasteel armor (x1)	1.laser cannon	0.none	2.hull plate ionizer	Very Fast	80% (Average)	300
3	EI500-class freighter	medium	low	medium	2.segment of heavy titanium armor (x4)	3.omnidirectional laser cannon	0.none	1.class I deflector	Slow	85% (Average)	105
4	Wolfen-class gunship	high	medium	medium	3.segment of light plasteel armor (x4)	2.dual laser cannon	2.NAMI missile launcher	2.hull plate ionizer	Fast	90% (Special)	225
2	Sapphire-class yacht	medium	medium	medium	2.segment of reactive armor (x4)	1.recoilless cannon	0.none	1.class I deflector	Fast	90% (Special)	95
3	EI500-class freighter	medium	low	medium	2.segment of heavy titanium armor (x4)	3.omnidirectional laser cannon	0.none	1.class I deflector	Slow	85% (Average)	105
4	Wolfen-class gunship	high	medium	medium	3.segment of light plasteel armor (x4)	2.dual laser cannon	2.NAMI missile launcher	2.hull plate ionizer	Fast	90% (Special)	225(240)
4	Salvager Nomad	low	low	low	3.double titanium barricade (x36)	3.turbolaser cannon	0.none	0.none	Fast	95% (Very Special)	250
6	Centurion-class heavy gunship	medium	medium	medium	6.segment of blast plate (x4)	6.TeV 9 blaster	0.none	4.R1 deflector	Very Fast	85% (Average)	635
5	Scarab-class superfreighter	low	low	low	5.segment of light blast plate (x24)	4.slam cannon	0.none	0.none	Normal	90% (Special)	440
8	Centurion/X-class heavy gunship	high	high	medium	7.segment of P100 Hexphase armor (x4)	7.Katana star cannon	0.none	6.R5 deflector	Extremely Fast	95% (Very Special)	1550(1490)
7	Centurion/X-class heavy gunship	high	high	medium	7.segment of P100 Hexphase armor (x4)	7.Katana star cannon	0.none	6.R5 deflector	Very Fast	90% (Special)	1230(1170)
7	Aurochs-class transport	low	low	low	7.segment of P100 Hexphase armor (x12)	6.TeV 9 blaster	0.none	6.R5 deflector	Very Fast	90% (Special)	1090(1835)
9	Corporate cruiser	medium	low	low	8.segment of quadrocarbide armor (x24)	0.none	8.Rasiermesser launcher	8.plasma shield generator	Fast	95% (Very Special)	2160
1	Corsair-class gunship	high	medium	medium	1.segment of light titanium armor (x2)	1.laser cannon	0.none	0.none	Normal	75% (Average)	25
2	Viking-class gunship	medium	low	medium	2.segment of reactive armor (x2)	3.turbolaser cannon	0.none	0.none	Normal	85% (Average)	95
3	Corsair II-class gunship	high	medium	medium	2.segment of reactive armor (x2)	2.dual laser cannon	2.NAMI missile launcher	1.class I deflector	Fast	80% (Average)	110
