I		kinetic1		12
I		kinetic2		12
II		kinetic3		15
II		kinetic4		15
III		blast1			18
III		blast2			18
IV		blast3			27
V		blast4			36
VI		thermo1			45
VI		thermo2			45
VII		thermo3			60
VIII	thermo4			75
IX		plasma1			96
IX		plasma2			96
X		plasma3			120
XI		plasma4			150




level	category	name			
1	02-Enemy	Anarchist Camp			
1	02-Enemy	Charon Pirate Cache			*kinetic1
1	02-Enemy	Charon Pirate Outpost			*kinetic2
1	04-Not Random	Starton Eridani			thermo1
2	01-Friendly	(agricultural station)			blast3
2	01-Friendly	(armor dealer)			blast3
2	01-Friendly	(arms dealer)			thermo1
2	01-Friendly	(commonwealth colony)			blast3
2	01-Friendly	Commonwealth Station			thermo1
2	01-Friendly	Korolov Shipping			thermo1
2	01-Friendly	(merchant prince hotel)			blast3
2	01-Friendly	(mining colony)			blast3
2	02-Enemy	Abbasid Outpost			blast1
2	02-Enemy	Anarchist Gathering			
2	02-Enemy	"(asteroid mine, titanium)"			*kinetic3
2	02-Enemy	(Centauri occupation)			blast3
2	02-Enemy	Centauri Stronghold			*kinetic3
2	02-Enemy	Charon Pirate Outpost			*kinetic3
2	02-Enemy	Himal Refuge			*kinetic2
2	02-Enemy	Outlaw Base			*kinetic4
2	02-Enemy	Outlaw Camp			*kinetic3
2	02-Enemy	Urak Outpost			*kinetic4
2	03-Debris	(outlaw convoy)			
2	04-Not Random	Battle Arena Maximus			
3	01-Friendly	Commonwealth Dry Dock			thermo1
3	01-Friendly	Corporate Enclave			blast3
3	01-Friendly	(fuel depot)			fuel1
3	01-Friendly	Ice Farm			blast2
3	01-Friendly	Rasiermesser Arms & Armor			thermo1
3	01-Friendly	Tempus Lab			blast3
3	01-Friendly	(tinker gathering)			thermo1
3	02-Enemy	Anarchist Settlement			blast2
3	02-Enemy	"(asteroid mine, palladium)"			blast1
3	02-Enemy	Charon Pirate Stronghold			blast2
3	02-Enemy	Heliotrope Outpost			blast3
3	02-Enemy	Outlaw Haven			blast1
3	02-Enemy	Sapiens Camp			radioactive1
3	02-Enemy	Urak Mine			blast2
3	02-Enemy	(weapons cache)			
3	03-Debris	Abandoned Cargo Container			
3	03-Debris	(salvager)			
3	03-Debris	(shipwreck I)			
3	04-Not Random	Fortress of the Charon Pirates			thermo1
4	01-Friendly	Black Market Station			thermo1
4	01-Friendly	Clavius Insurance Conglomerate			blast3
4	01-Friendly	Makayev-Energia Space Systems			thermo1
4	01-Friendly	Sisters of Domina			darklightning1
4	02-Enemy	"(asteroid mine, ceralloy)"			blast2
4	02-Enemy	Death Drug Cartel Outpost			blast3
4	02-Enemy	Dwarg Colony			blast3
4	02-Enemy	Marauder Compound			blast4
4	02-Enemy	Marauder Outpost			blast3
4	02-Enemy	Sapiens Compound			radioactive2
4	02-Enemy	Sung Slave Camp			blast1
4	02-Enemy	Urak Fortress			thermo1
4	03-Debris	(radioactive shipwreck)			
4	03-Debris	(shipwreck II)			
5	01-Friendly	Armed Commonwealth Station			thermo2
5	01-Friendly	(auton dealer)			thermo1
5	01-Friendly	Bushido Merchant			thermo1
5	01-Friendly	Commonwealth Fortress			thermo1
5	02-Enemy	"(asteroid mine, duralloy)"			blast3
5	02-Enemy	Dwarg Colony			blast3
5	02-Enemy	Heliotrope Colony			thermo1
5	02-Enemy	Marauder Stronghold			thermo1
5	02-Enemy	Penitent Shrine			darkacid1
5	02-Enemy	Sung Fortress			thermo1
5	03-Debris	(shipwreck III)			
6	01-Friendly	Adventurer Outfitters			thermo1
6	01-Friendly	Black Market Shipyard			thermo1
6	01-Friendly	"(commonwealth colony, armed)"			thermo1
6	01-Friendly	Corporate Trading Post			thermo1
6	01-Friendly	Thor's Wondrous Devices			thermo1
6	02-Enemy	"(asteroid mine, pteracnium)"			blast4
6	02-Enemy	Dwarg Fortress			thermo1
6	02-Enemy	Ferian Colony			thermo1
6	02-Enemy	Huari Fortress			thermo1
6	02-Enemy	Sung Citadel			thermo2
6	02-Enemy	(Xenophobe fleet)			
7	01-Friendly	(CSC Arctica)			
7	01-Friendly	(CSC Sahara)			
7	01-Friendly	Rasiermesser Manufacturing Plant			thermo1
7	01-Friendly	Ringers Collective			plasma1
7	02-Enemy	Ares Outpost			thermo1
7	02-Enemy	Penitent Sanctum			darkacid1
7	02-Enemy	Ranx Outpost			thermo1
7	02-Enemy	Rogue Fleet Cache			blast4
7	02-Enemy	Ventari Colony			thermo1
8	01-Friendly	(commonwealth settlement)			thermo1
8	01-Friendly	(CSC America)			
8	01-Friendly	(CSC Asia)			
8	01-Friendly	(CSC Atlantica)			
8	01-Friendly	(CSC India)			
8	01-Friendly	(CSC Pacifica)			
8	01-Friendly	Taikon Ventures			thermo3
8	01-Friendly	(teraton trading post)			plasma1
8	02-Enemy	Kobol Warlord camp			thermo1
8	02-Enemy	Luminous Assembler			thermo1
8	02-Enemy	Ranx Fortress			thermo2
8	02-Enemy	Rogue Fleet Settlement			thermo1
8	02-Enemy	(Xenophobe worldship)			
8	03-Debris	(Centurion wreck)			
8	03-Debris	(Sandstorm wreck)			
8	04-Not Random	Point Juno			thermo2
9	01-Friendly	(CSC Terra)			
9	01-Friendly	Ringer Shipyard			plasma1
9	01-Friendly	(teraton factory)			plasma1
9	01-Friendly	(teraton research center)			plasma1
9	02-Enemy	Ares Commune			thermo2
9	02-Enemy	Ares Shipyard			thermo3
9	02-Enemy	(Gaian processor)			
