TransData v2.3
Copyright (c) 2001-2011 by George Moromisato. All Rights Reserved.

Loading...done.
pass 1...
pass 2...
pass 3...
pass 4...
pass 5...
pass 6...
pass 7...
pass 8...
pass 9...
pass 10...
LABEL STATISTICS

Total labels: 300.00

ancientEnv: 42.20 (14.06%)
ancientEnv,asymorphEco: 6.70 (2.23%)
ancientEnv,asymorphEco,EfreetRace: 1.40 (0.46%)
ancientEnv,asymorphEco,EfreetRace,GromeRace: 0.10 (0.03%)
ancientEnv,asymorphEco,EfreetRace,GromeRace,level12: 0.10 (0.03%)
ancientEnv,asymorphEco,EfreetRace,JaxRace: 0.50 (0.16%)
ancientEnv,asymorphEco,EfreetRace,JaxRace,level11: 0.40 (0.13%)
ancientEnv,asymorphEco,EfreetRace,JaxRace,level12: 0.10 (0.03%)
ancientEnv,asymorphEco,EfreetRace,level11: 0.70 (0.23%)
ancientEnv,asymorphEco,EfreetRace,level12: 0.40 (0.13%)
ancientEnv,asymorphEco,EfreetRace,level13: 0.20 (0.06%)
ancientEnv,asymorphEco,EfreetRace,level14: 0.10 (0.03%)
ancientEnv,asymorphEco,EfreetRace,ReenuRace: 0.60 (0.20%)
ancientEnv,asymorphEco,EfreetRace,ReenuRace,level11: 0.20 (0.06%)
ancientEnv,asymorphEco,EfreetRace,ReenuRace,level12: 0.10 (0.03%)
ancientEnv,asymorphEco,EfreetRace,ReenuRace,level13: 0.20 (0.06%)
ancientEnv,asymorphEco,EfreetRace,ReenuRace,level14: 0.10 (0.03%)
ancientEnv,asymorphEco,ErebienRace: 2.30 (0.76%)
ancientEnv,asymorphEco,ErebienRace,GromeRace: 0.40 (0.13%)
ancientEnv,asymorphEco,ErebienRace,GromeRace,level12: 0.10 (0.03%)
ancientEnv,asymorphEco,ErebienRace,GromeRace,level13: 0.20 (0.06%)
ancientEnv,asymorphEco,ErebienRace,GromeRace,level14: 0.10 (0.03%)
ancientEnv,asymorphEco,ErebienRace,JaxRace: 1.40 (0.46%)
ancientEnv,asymorphEco,ErebienRace,JaxRace,level11: 0.30 (0.10%)
ancientEnv,asymorphEco,ErebienRace,JaxRace,level12: 0.60 (0.20%)
ancientEnv,asymorphEco,ErebienRace,JaxRace,level13: 0.40 (0.13%)
